,drug1,drug2,object,precipitant,severity
8302,http://bio2rdf.org/drugbank:DB00591,http://bio2rdf.org/drugbank:DB01016,Fluocinolone_Acetonide,Glyburide,1
8301,http://bio2rdf.org/drugbank:DB00184,http://bio2rdf.org/drugbank:DB00458,Nicotine,Imipramine,1
8300,http://bio2rdf.org/drugbank:DB00417,http://bio2rdf.org/drugbank:DB00294,Penicillin_V,Etonogestrel,3
8299,http://bio2rdf.org/drugbank:DB01203,http://bio2rdf.org/drugbank:DB00458,Nadolol,Imipramine,1
8298,http://bio2rdf.org/drugbank:DB01398,http://bio2rdf.org/drugbank:DB00554,Salicylate-sodium,Piroxicam,1
8297,http://bio2rdf.org/drugbank:DB01174,http://bio2rdf.org/drugbank:DB00489,Phenobarbital,Sotalol,1
8296,http://bio2rdf.org/drugbank:DB00700,http://bio2rdf.org/drugbank:DB00196,Eplerenone,Fluconazole,2
8295,http://bio2rdf.org/drugbank:DB00603,http://bio2rdf.org/drugbank:DB00588,Medroxyprogesterone_Acetate,Fluticasone_Propionate,1
8294,http://bio2rdf.org/drugbank:DB00451,http://bio2rdf.org/drugbank:DB00390,Levothyroxine,Digoxin,2
8293,http://bio2rdf.org/drugbank:DB01377,http://bio2rdf.org/drugbank:DB00759,Magnesium_oxide,Tetracycline,2
8292,http://bio2rdf.org/drugbank:DB00458,http://bio2rdf.org/drugbank:DB00503,Imipramine,Ritonavir,2
8291,http://bio2rdf.org/drugbank:DB01410,http://bio2rdf.org/drugbank:DB00310,Ciclesonide,Chlorthalidone,1
8290,http://bio2rdf.org/drugbank:DB00991,http://bio2rdf.org/drugbank:DB00436,Oxaprozin,Bendroflumethiazide,1
8289,http://bio2rdf.org/drugbank:DB00641,http://bio2rdf.org/drugbank:DB01264,Simvastatin,Darunavir,3
8288,http://bio2rdf.org/drugbank:DB01059,http://bio2rdf.org/drugbank:DB00468,NORFLOXACIN,Quinine,2
8287,http://bio2rdf.org/drugbank:DB01233,http://bio2rdf.org/drugbank:DB00454,Metoclopramide,Pethidine,1
8286,http://bio2rdf.org/drugbank:DB06723,http://bio2rdf.org/drugbank:DB00199,Aluminum_hydroxide,Erythromycin,1
8285,http://bio2rdf.org/drugbank:DB00739,http://bio2rdf.org/drugbank:DB00373,Hetacillin,Timolol,1
8284,http://bio2rdf.org/drugbank:DB01234,http://bio2rdf.org/drugbank:DB00277,Dexamethasone,Theophylline,1
8283,http://bio2rdf.org/drugbank:DB01136,http://bio2rdf.org/drugbank:DB00661,Carvedilol,Verapamil,2
8282,http://bio2rdf.org/drugbank:DB01628,http://bio2rdf.org/drugbank:DB00214,Etoricoxib,Torasemide,2
8281,http://bio2rdf.org/drugbank:DB01410,http://bio2rdf.org/drugbank:DB00469,Ciclesonide,Tenoxicam,2
8280,http://bio2rdf.org/drugbank:DB00252,http://bio2rdf.org/drugbank:DB01551,Phenytoin,Dihydrocodeine,1
8279,http://bio2rdf.org/drugbank:DB00294,http://bio2rdf.org/drugbank:DB00533,Etonogestrel,Rofecoxib,1
8278,http://bio2rdf.org/drugbank:DB00741,http://bio2rdf.org/drugbank:DB00461,Hydrocortisone,Nabumetone,2
8277,http://bio2rdf.org/drugbank:DB08439,http://bio2rdf.org/drugbank:DB00690,parecoxib,Flurazepam, 
8276,http://bio2rdf.org/drugbank:DB00712,http://bio2rdf.org/drugbank:DB00682,Flurbiprofen,Warfarin,2
8275,http://bio2rdf.org/drugbank:DB01390,http://bio2rdf.org/drugbank:DB00390,Sodium_bicarbonate,Digoxin,1
8274,http://bio2rdf.org/drugbank:DB01136,http://bio2rdf.org/drugbank:DB08797,Carvedilol,Salicylamide,1
8273,http://bio2rdf.org/drugbank:DB00939,http://bio2rdf.org/drugbank:DB00598,Meclofenamic_acid,Labetalol,2
8272,http://bio2rdf.org/drugbank:DB06802,http://bio2rdf.org/drugbank:DB00384,Nepafenac,Triamterene,2
8271,http://bio2rdf.org/drugbank:DB01045,http://bio2rdf.org/drugbank:DB00908,Rifampicin,Quinidine,2
8270,http://bio2rdf.org/drugbank:DB06803,http://bio2rdf.org/drugbank:DB00713,Niclosamide,Oxacillin,1
8269,http://bio2rdf.org/drugbank:DB01397,http://bio2rdf.org/drugbank:DB01356,Magnesium_salicylate,Lithium, 
8268,http://bio2rdf.org/drugbank:DB02266,http://bio2rdf.org/drugbank:DB00521,Flufenamic_Acid,Carteolol,2
8267,http://bio2rdf.org/drugbank:DB06709,http://bio2rdf.org/drugbank:DB00415,Methacholine,Ampicillin,1
8266,http://bio2rdf.org/drugbank:DB08439,http://bio2rdf.org/drugbank:DB01324,parecoxib,Polythiazide,1
8265,http://bio2rdf.org/drugbank:DB00465,http://bio2rdf.org/drugbank:DB00690,Ketorolac,Flurazepam, 
8264,http://bio2rdf.org/drugbank:DB00607,http://bio2rdf.org/drugbank:DB08807,Nafcillin,Bopindolol,1
8263,http://bio2rdf.org/drugbank:DB00472,http://bio2rdf.org/drugbank:DB00252,Fluoxetine,Phenytoin,2
8262,http://bio2rdf.org/drugbank:DB01115,http://bio2rdf.org/drugbank:DB00327,Nifedipine,Hydromorphone,1
8261,http://bio2rdf.org/drugbank:DB02443,http://bio2rdf.org/drugbank:DB00187,Methicillin_Acyl-Serine,Esmolol,1
8260,http://bio2rdf.org/drugbank:DB08795,http://bio2rdf.org/drugbank:DB00521,Azidocillin,Carteolol,1
8259,http://bio2rdf.org/drugbank:DB00612,http://bio2rdf.org/drugbank:DB00186,Bisoprolol,Lorazepam, 
8258,http://bio2rdf.org/drugbank:DB00697,http://bio2rdf.org/drugbank:DB00829,Tizanidine,Diazepam, 
8257,http://bio2rdf.org/drugbank:DB01375,http://bio2rdf.org/drugbank:DB00812,Dihydroxyaluminium,Phenylbutazone,1
8256,http://bio2rdf.org/drugbank:DB01297,http://bio2rdf.org/drugbank:DB00682,Practolol,Warfarin,1
8255,http://bio2rdf.org/drugbank:DB00465,http://bio2rdf.org/drugbank:DB01324,Ketorolac,Polythiazide,1
8254,http://bio2rdf.org/drugbank:DB07886,http://bio2rdf.org/drugbank:DB06803,"(11alpha,14beta)-11,17,21-trihydroxypregn-4-ene-3,20-dione",Niclosamide,2
8253,http://bio2rdf.org/drugbank:DB00246,http://bio2rdf.org/drugbank:DB00344,Ziprasidone,Protriptyline,2
8252,http://bio2rdf.org/drugbank:DB01410,http://bio2rdf.org/drugbank:DB01093,Ciclesonide,Dimethyl_sulfoxide,2
8251,http://bio2rdf.org/drugbank:DB06802,http://bio2rdf.org/drugbank:DB01193,Nepafenac,Acebutolol,2
8250,http://bio2rdf.org/drugbank:DB00571,http://bio2rdf.org/drugbank:DB00310,Propranolol,Chlorthalidone,1
8249,http://bio2rdf.org/drugbank:DB02266,http://bio2rdf.org/drugbank:DB00866,Flufenamic_Acid,Alprenolol,2
8248,http://bio2rdf.org/drugbank:DB03585,http://bio2rdf.org/drugbank:DB00598,Oxyphenbutazone,Labetalol,2
8247,http://bio2rdf.org/drugbank:DB00960,http://bio2rdf.org/drugbank:DB00436,Pindolol,Bendroflumethiazide,1
8246,http://bio2rdf.org/drugbank:DB00304,http://bio2rdf.org/drugbank:DB00605,Desogestrel,Sulindac,1
8245,http://bio2rdf.org/drugbank:DB00533,http://bio2rdf.org/drugbank:DB08808,Rofecoxib,Bupranolol,2
8244,http://bio2rdf.org/drugbank:DB01211,http://bio2rdf.org/drugbank:DB05294,Clarithromycin,VANDETANIB,2
8243,http://bio2rdf.org/drugbank:DB00351,http://bio2rdf.org/drugbank:DB00451,Megestrol_acetate,Levothyroxine,1
8242,http://bio2rdf.org/drugbank:DB00184,http://bio2rdf.org/drugbank:DB00321,Nicotine,Amitriptyline,1
8241,http://bio2rdf.org/drugbank:DB00367,http://bio2rdf.org/drugbank:DB01203,Levonorgestrel,Nadolol,1
8240,http://bio2rdf.org/drugbank:DB06709,http://bio2rdf.org/drugbank:DB00573,Methacholine,Fenoprofen,1
8239,http://bio2rdf.org/drugbank:DB01203,http://bio2rdf.org/drugbank:DB00321,Nadolol,Amitriptyline,1
8238,http://bio2rdf.org/drugbank:DB00180,http://bio2rdf.org/drugbank:DB01009,Flunisolide,Ketoprofen,2
8237,http://bio2rdf.org/drugbank:DB00605,http://bio2rdf.org/drugbank:DB01297,Sulindac,Practolol,2
8236,http://bio2rdf.org/drugbank:DB01233,http://bio2rdf.org/drugbank:DB00390,Metoclopramide,Digoxin,1
8235,http://bio2rdf.org/drugbank:DB06803,http://bio2rdf.org/drugbank:DB00118,Niclosamide,S-Adenosylmethionine,1
8234,http://bio2rdf.org/drugbank:DB00936,http://bio2rdf.org/drugbank:DB08439,Salicyclic_acid,parecoxib,1
8233,http://bio2rdf.org/drugbank:DB00939,http://bio2rdf.org/drugbank:DB00404,Meclofenamic_acid,Alprazolam, 
8232,http://bio2rdf.org/drugbank:DB01136,http://bio2rdf.org/drugbank:DB01016,Carvedilol,Glyburide,2
8231,http://bio2rdf.org/drugbank:DB00717,http://bio2rdf.org/drugbank:DB01222,Norethindrone,Budesonide,1
8230,http://bio2rdf.org/drugbank:DB00564,http://bio2rdf.org/drugbank:DB00187,Carbamazepine,Esmolol,1
8229,http://bio2rdf.org/drugbank:DB08797,http://bio2rdf.org/drugbank:DB01009,Salicylamide,Ketoprofen,1
8228,http://bio2rdf.org/drugbank:DB00482,http://bio2rdf.org/drugbank:DB00489,Celecoxib,Sotalol,2
8227,http://bio2rdf.org/drugbank:DB08797,http://bio2rdf.org/drugbank:DB03585,Salicylamide,Oxyphenbutazone,1
8226,http://bio2rdf.org/drugbank:DB01390,http://bio2rdf.org/drugbank:DB00195,Sodium_bicarbonate,Betaxolol,1
8225,http://bio2rdf.org/drugbank:DB01410,http://bio2rdf.org/drugbank:DB04743,Ciclesonide,Nimesulide,2
8224,http://bio2rdf.org/drugbank:DB00682,http://bio2rdf.org/drugbank:DB00184,Warfarin,Nicotine, 
8223,http://bio2rdf.org/drugbank:DB00812,http://bio2rdf.org/drugbank:DB01297,Phenylbutazone,Practolol,2
8222,http://bio2rdf.org/drugbank:DB00252,http://bio2rdf.org/drugbank:DB00783,Phenytoin,Estradiol,2
8221,http://bio2rdf.org/drugbank:DB04828,http://bio2rdf.org/drugbank:DB00521,Zomepirac,Carteolol,2
8220,http://bio2rdf.org/drugbank:DB00603,http://bio2rdf.org/drugbank:DB08797,Medroxyprogesterone_Acetate,Salicylamide,1
8219,http://bio2rdf.org/drugbank:DB08439,http://bio2rdf.org/drugbank:DB00960,parecoxib,Pindolol,2
8218,http://bio2rdf.org/drugbank:DB00252,http://bio2rdf.org/drugbank:DB00208,Phenytoin,Ticlopidine,2
8217,http://bio2rdf.org/drugbank:DB00717,http://bio2rdf.org/drugbank:DB00963,Norethindrone,Bromfenac,1
8216,http://bio2rdf.org/drugbank:DB00184,http://bio2rdf.org/drugbank:DB08808,Nicotine,Bupranolol,2
8215,http://bio2rdf.org/drugbank:DB00469,http://bio2rdf.org/drugbank:DB08808,Tenoxicam,Bupranolol,2
8214,http://bio2rdf.org/drugbank:DB01234,http://bio2rdf.org/drugbank:DB00328,Dexamethasone,Indomethacin,2
8213,http://bio2rdf.org/drugbank:DB01172,http://bio2rdf.org/drugbank:DB00122,Kanamycin,Choline,1
8212,http://bio2rdf.org/drugbank:DB00443,http://bio2rdf.org/drugbank:DB01050,Betamethasone,Ibuprofen,2
8211,http://bio2rdf.org/drugbank:DB00578,http://bio2rdf.org/drugbank:DB00195,Carbenicillin,Betaxolol,1
8210,http://bio2rdf.org/drugbank:DB00945,http://bio2rdf.org/drugbank:DB01020,Acetylsalicylic_acid,Isosorbide_Mononitrate,1
8209,http://bio2rdf.org/drugbank:DB00537,http://bio2rdf.org/drugbank:DB08808,Ciprofloxacin,Bupranolol,1
8208,http://bio2rdf.org/drugbank:DB00898,http://bio2rdf.org/drugbank:DB01020,Ethanol,Isosorbide_Mononitrate,2
8207,http://bio2rdf.org/drugbank:DB03585,http://bio2rdf.org/drugbank:DB00404,Oxyphenbutazone,Alprazolam, 
8206,http://bio2rdf.org/drugbank:DB00294,http://bio2rdf.org/drugbank:DB00461,Etonogestrel,Nabumetone,1
8205,http://bio2rdf.org/drugbank:DB00788,http://bio2rdf.org/drugbank:DB01356,Naproxen,Lithium,2
8204,http://bio2rdf.org/drugbank:DB00521,http://bio2rdf.org/drugbank:DB00509,Carteolol,Dextrothyroxine,1
8203,http://bio2rdf.org/drugbank:DB00620,http://bio2rdf.org/drugbank:DB01050,Triamcinolone,Ibuprofen,2
8202,http://bio2rdf.org/drugbank:DB00489,http://bio2rdf.org/drugbank:DB01399,Sotalol,Salsalate,1
8201,http://bio2rdf.org/drugbank:DB00233,http://bio2rdf.org/drugbank:DB01356,Aminosalicylic_Acid,Lithium, 
8200,http://bio2rdf.org/drugbank:DB00482,http://bio2rdf.org/drugbank:DB00436,Celecoxib,Bendroflumethiazide,1
8199,http://bio2rdf.org/drugbank:DB00252,http://bio2rdf.org/drugbank:DB00823,Phenytoin,Ethynodiol,2
8198,http://bio2rdf.org/drugbank:DB04828,http://bio2rdf.org/drugbank:DB00866,Zomepirac,Alprenolol,2
8197,http://bio2rdf.org/drugbank:DB00603,http://bio2rdf.org/drugbank:DB00586,Medroxyprogesterone_Acetate,Diclofenac,1
8196,http://bio2rdf.org/drugbank:DB01164,http://bio2rdf.org/drugbank:DB04861,Calcium_Chloride,Nebivolol,1
8195,http://bio2rdf.org/drugbank:DB01174,http://bio2rdf.org/drugbank:DB00588,Phenobarbital,Fluticasone_Propionate,1
8194,http://bio2rdf.org/drugbank:DB01606,http://bio2rdf.org/drugbank:DB00335,Tazobactam,Atenolol,1
8193,http://bio2rdf.org/drugbank:DB00437,http://bio2rdf.org/drugbank:DB00277,Allopurinol,Theophylline,1
8192,http://bio2rdf.org/drugbank:DB00458,http://bio2rdf.org/drugbank:DB00854,Imipramine,Levorphanol,1
8191,http://bio2rdf.org/drugbank:DB00252,http://bio2rdf.org/drugbank:DB01373,Phenytoin,Calcium, 
8190,http://bio2rdf.org/drugbank:DB00603,http://bio2rdf.org/drugbank:DB00465,Medroxyprogesterone_Acetate,Ketorolac,1
8189,http://bio2rdf.org/drugbank:DB00588,http://bio2rdf.org/drugbank:DB00697,Fluticasone_Propionate,Tizanidine,2
8188,http://bio2rdf.org/drugbank:DB06802,http://bio2rdf.org/drugbank:DB01115,Nepafenac,Nifedipine, 
8187,http://bio2rdf.org/drugbank:DB01296,http://bio2rdf.org/drugbank:DB00727,Glucosamine,Nitroglycerin,1
8186,http://bio2rdf.org/drugbank:DB01233,http://bio2rdf.org/drugbank:DB00195,Metoclopramide,Betaxolol, 
8185,http://bio2rdf.org/drugbank:DB00586,http://bio2rdf.org/drugbank:DB00584,Diclofenac,Enalapril,2
8184,http://bio2rdf.org/drugbank:DB00945,http://bio2rdf.org/drugbank:DB00578,Acetylsalicylic_acid,Carbenicillin,1
8183,http://bio2rdf.org/drugbank:DB01053,http://bio2rdf.org/drugbank:DB00866,Benzylpenicillin,Alprenolol,1
8182,http://bio2rdf.org/drugbank:DB01580,http://bio2rdf.org/drugbank:DB01432,Oxprenolol,Cholestyramine, 
8181,http://bio2rdf.org/drugbank:DB01373,http://bio2rdf.org/drugbank:DB00960,Calcium,Pindolol,1
8180,http://bio2rdf.org/drugbank:DB00908,http://bio2rdf.org/drugbank:DB00802,Quinidine,Alfentanil,1
8179,http://bio2rdf.org/drugbank:DB00501,http://bio2rdf.org/drugbank:DB00304,Cimetidine,Desogestrel,1
8178,http://bio2rdf.org/drugbank:DB00717,http://bio2rdf.org/drugbank:DB04861,Norethindrone,Nebivolol,1
8177,http://bio2rdf.org/drugbank:DB00195,http://bio2rdf.org/drugbank:DB01373,Betaxolol,Calcium,1
8176,http://bio2rdf.org/drugbank:DB00945,http://bio2rdf.org/drugbank:DB00948,Acetylsalicylic_acid,Mezlocillin,1
8175,http://bio2rdf.org/drugbank:DB00897,http://bio2rdf.org/drugbank:DB00363,Triazolam,CLOZAPINE,2
8174,http://bio2rdf.org/drugbank:DB01045,http://bio2rdf.org/drugbank:DB00295,Rifampicin,Morphine,2
8173,http://bio2rdf.org/drugbank:DB00394,http://bio2rdf.org/drugbank:DB00586,Beclomethasone,Diclofenac,2
8172,http://bio2rdf.org/drugbank:DB04743,http://bio2rdf.org/drugbank:DB00774,Nimesulide,Hydroflumethiazide,1
8171,http://bio2rdf.org/drugbank:DB01351,http://bio2rdf.org/drugbank:DB00783,Amobarbital,Estradiol,2
8170,http://bio2rdf.org/drugbank:DB00371,http://bio2rdf.org/drugbank:DB00363,Meprobamate,CLOZAPINE,2
8169,http://bio2rdf.org/drugbank:DB00571,http://bio2rdf.org/drugbank:DB00774,Propranolol,Hydroflumethiazide,1
8168,http://bio2rdf.org/drugbank:DB06709,http://bio2rdf.org/drugbank:DB00883,Methacholine,Isosorbide_Dinitrate,1
8167,http://bio2rdf.org/drugbank:DB00591,http://bio2rdf.org/drugbank:DB00812,Fluocinolone_Acetonide,Phenylbutazone,2
8166,http://bio2rdf.org/drugbank:DB01576,http://bio2rdf.org/drugbank:DB00752,Dextroamphetamine,Tranylcypromine,3
8165,http://bio2rdf.org/drugbank:DB00394,http://bio2rdf.org/drugbank:DB00465,Beclomethasone,Ketorolac,2
8164,http://bio2rdf.org/drugbank:DB06709,http://bio2rdf.org/drugbank:DB06802,Methacholine,Nepafenac,1
8163,http://bio2rdf.org/drugbank:DB01100,http://bio2rdf.org/drugbank:DB00701,Pimozide,Amprenavir,3
8162,http://bio2rdf.org/drugbank:DB00668,http://bio2rdf.org/drugbank:DB00489,Epinephrine,Sotalol,2
8161,http://bio2rdf.org/drugbank:DB06724,http://bio2rdf.org/drugbank:DB01115,Calcium_carbonate,Nifedipine,2
8160,http://bio2rdf.org/drugbank:DB03585,http://bio2rdf.org/drugbank:DB00606,Oxyphenbutazone,Cyclothiazide,1
8159,http://bio2rdf.org/drugbank:DB01136,http://bio2rdf.org/drugbank:DB06803,Carvedilol,Niclosamide,1
8158,http://bio2rdf.org/drugbank:DB01390,http://bio2rdf.org/drugbank:DB00598,Sodium_bicarbonate,Labetalol,1
8157,http://bio2rdf.org/drugbank:DB00582,http://bio2rdf.org/drugbank:DB00641,Voriconazole,Simvastatin,3
8156,http://bio2rdf.org/drugbank:DB00586,http://bio2rdf.org/drugbank:DB00187,Diclofenac,Esmolol,2
8155,http://bio2rdf.org/drugbank:DB00501,http://bio2rdf.org/drugbank:DB00313,Cimetidine,Valproic_Acid,1
8154,http://bio2rdf.org/drugbank:DB00936,http://bio2rdf.org/drugbank:DB00774,Salicyclic_acid,Hydroflumethiazide,1
8153,http://bio2rdf.org/drugbank:DB00739,http://bio2rdf.org/drugbank:DB00489,Hetacillin,Sotalol,1
8152,http://bio2rdf.org/drugbank:DB00764,http://bio2rdf.org/drugbank:DB00712,Mometasone,Flurbiprofen,2
8151,http://bio2rdf.org/drugbank:DB00521,http://bio2rdf.org/drugbank:DB01398,Carteolol,Salicylate-sodium,1
8150,http://bio2rdf.org/drugbank:DB01215,http://bio2rdf.org/drugbank:DB00363,ESTAZOLAM,CLOZAPINE,2
8149,http://bio2rdf.org/drugbank:DB00196,http://bio2rdf.org/drugbank:DB01215,Fluconazole,ESTAZOLAM,2
8148,http://bio2rdf.org/drugbank:DB00863,http://bio2rdf.org/drugbank:DB00281,Ranitidine,Lidocaine, 
8147,http://bio2rdf.org/drugbank:DB01172,http://bio2rdf.org/drugbank:DB00186,Kanamycin,Lorazepam,1
8146,http://bio2rdf.org/drugbank:DB00988,http://bio2rdf.org/drugbank:DB00752,Dopamine,Tranylcypromine,3
8145,http://bio2rdf.org/drugbank:DB01050,http://bio2rdf.org/drugbank:DB00571,Ibuprofen,Propranolol,2
8144,http://bio2rdf.org/drugbank:DB00351,http://bio2rdf.org/drugbank:DB01580,Megestrol_acetate,Oxprenolol,1
8143,http://bio2rdf.org/drugbank:DB01398,http://bio2rdf.org/drugbank:DB02443,Salicylate-sodium,Methicillin_Acyl-Serine,1
8142,http://bio2rdf.org/drugbank:DB06802,http://bio2rdf.org/drugbank:DB00252,Nepafenac,Phenytoin,1
8141,http://bio2rdf.org/drugbank:DB00443,http://bio2rdf.org/drugbank:DB00936,Betamethasone,Salicyclic_acid,2
8140,http://bio2rdf.org/drugbank:DB00313,http://bio2rdf.org/drugbank:DB00945,Valproic_Acid,Acetylsalicylic_acid,2
8139,http://bio2rdf.org/drugbank:DB01067,http://bio2rdf.org/drugbank:DB00489,GLIPIZIDE,Sotalol,2
8138,http://bio2rdf.org/drugbank:DB00620,http://bio2rdf.org/drugbank:DB00936,Triamcinolone,Salicyclic_acid,2
8137,http://bio2rdf.org/drugbank:DB00500,http://bio2rdf.org/drugbank:DB00571,Tolmetin,Propranolol,2
8136,http://bio2rdf.org/drugbank:DB00195,http://bio2rdf.org/drugbank:DB01197,Betaxolol,Captopril, 
8135,http://bio2rdf.org/drugbank:DB00898,http://bio2rdf.org/drugbank:DB00233,Ethanol,Aminosalicylic_Acid,2
8134,http://bio2rdf.org/drugbank:DB01035,http://bio2rdf.org/drugbank:DB00862,Procainamide,Vardenafil,3
8133,http://bio2rdf.org/drugbank:DB00351,http://bio2rdf.org/drugbank:DB00860,Megestrol_acetate,Prednisolone,1
8132,http://bio2rdf.org/drugbank:DB00543,http://bio2rdf.org/drugbank:DB00604,AMOXAPINE,Cisapride,3
8131,http://bio2rdf.org/drugbank:DB00584,http://bio2rdf.org/drugbank:DB00866,Enalapril,Alprenolol, 
8130,http://bio2rdf.org/drugbank:DB01410,http://bio2rdf.org/drugbank:DB01324,Ciclesonide,Polythiazide,1
8129,http://bio2rdf.org/drugbank:DB01233,http://bio2rdf.org/drugbank:DB00598,Metoclopramide,Labetalol, 
8128,http://bio2rdf.org/drugbank:DB01432,http://bio2rdf.org/drugbank:DB04828,Cholestyramine,Zomepirac,1
8127,http://bio2rdf.org/drugbank:DB01390,http://bio2rdf.org/drugbank:DB00939,Sodium_bicarbonate,Meclofenamic_acid,1
8126,http://bio2rdf.org/drugbank:DB00509,http://bio2rdf.org/drugbank:DB01193,Dextrothyroxine,Acebutolol,1
8125,http://bio2rdf.org/drugbank:DB01377,http://bio2rdf.org/drugbank:DB01359,Magnesium_oxide,Penbutolol,1
8124,http://bio2rdf.org/drugbank:DB00860,http://bio2rdf.org/drugbank:DB01021,Prednisolone,Trichlormethiazide,1
8123,http://bio2rdf.org/drugbank:DB00844,http://bio2rdf.org/drugbank:DB01037,Nalbuphine,Selegiline,3
8122,http://bio2rdf.org/drugbank:DB06724,http://bio2rdf.org/drugbank:DB00252,Calcium_carbonate,Phenytoin,1
8121,http://bio2rdf.org/drugbank:DB00820,http://bio2rdf.org/drugbank:DB00727,Tadalafil,NITROGLYCERIN,3
8120,http://bio2rdf.org/drugbank:DB01373,http://bio2rdf.org/drugbank:DB02443,Calcium,Methicillin_Acyl-Serine,1
8119,http://bio2rdf.org/drugbank:DB04861,http://bio2rdf.org/drugbank:DB00936,Nebivolol,Salicyclic_acid,1
8118,http://bio2rdf.org/drugbank:DB00814,http://bio2rdf.org/drugbank:DB01399,Meloxicam,Salsalate,1
8117,http://bio2rdf.org/drugbank:DB01529,http://bio2rdf.org/drugbank:DB00898,Dextromoramide,Ethanol,2
8116,http://bio2rdf.org/drugbank:DB01093,http://bio2rdf.org/drugbank:DB00373,Dimethyl_sulfoxide,Timolol,2
8115,http://bio2rdf.org/drugbank:DB00862,http://bio2rdf.org/drugbank:DB00908,Vardenafil,Quinidine,3
8114,http://bio2rdf.org/drugbank:DB00582,http://bio2rdf.org/drugbank:DB01268,Voriconazole,Sunitinib,2
8113,http://bio2rdf.org/drugbank:DB00960,http://bio2rdf.org/drugbank:DB08797,Pindolol,Salicylamide,1
8112,http://bio2rdf.org/drugbank:DB00399,http://bio2rdf.org/drugbank:DB00774,Zoledronate,Hydroflumethiazide,2
8111,http://bio2rdf.org/drugbank:DB00571,http://bio2rdf.org/drugbank:DB00690,Propranolol,Flurazepam,1
8110,http://bio2rdf.org/drugbank:DB00823,http://bio2rdf.org/drugbank:DB00451,Ethynodiol,Levothyroxine,1
8109,http://bio2rdf.org/drugbank:DB01375,http://bio2rdf.org/drugbank:DB00501,Dihydroxyaluminium,Cimetidine,1
8108,http://bio2rdf.org/drugbank:DB00343,http://bio2rdf.org/drugbank:DB06709,Diltiazem,Methacholine,1
8107,http://bio2rdf.org/drugbank:DB00335,http://bio2rdf.org/drugbank:DB00936,Atenolol,Salicyclic_acid,1
8106,http://bio2rdf.org/drugbank:DB00497,http://bio2rdf.org/drugbank:DB00673,Oxycodone,Aprepitant,2
8105,http://bio2rdf.org/drugbank:DB01398,http://bio2rdf.org/drugbank:DB00485,Salicylate-sodium,Dicloxacillin,1
8104,http://bio2rdf.org/drugbank:DB00304,http://bio2rdf.org/drugbank:DB08797,Desogestrel,Salicylamide,1
8103,http://bio2rdf.org/drugbank:DB00999,http://bio2rdf.org/drugbank:DB00214,Hydrochlorothiazide,Torasemide,1
8102,http://bio2rdf.org/drugbank:DB00359,http://bio2rdf.org/drugbank:DB00563,SULFADIAZINE,Methotrexate,2
8101,http://bio2rdf.org/drugbank:DB00759,http://bio2rdf.org/drugbank:DB00948,Tetracycline,Mezlocillin,1
8100,http://bio2rdf.org/drugbank:DB00715,http://bio2rdf.org/drugbank:DB01233,Paroxetine,METOCLOPRAMIDE,2
8099,http://bio2rdf.org/drugbank:DB01390,http://bio2rdf.org/drugbank:DB00537,Sodium_bicarbonate,CIPROFLOXACIN,2
8098,http://bio2rdf.org/drugbank:DB00936,http://bio2rdf.org/drugbank:DB00421,Salicyclic_acid,Spironolactone,1
8097,http://bio2rdf.org/drugbank:DB01115,http://bio2rdf.org/drugbank:DB01209,Nifedipine,Dezocine,1
8096,http://bio2rdf.org/drugbank:DB00916,http://bio2rdf.org/drugbank:DB00564,METRONIDAZOLE,Carbamazepine,2
8095,http://bio2rdf.org/drugbank:DB00533,http://bio2rdf.org/drugbank:DB00313,Rofecoxib,Valproic_Acid,1
8094,http://bio2rdf.org/drugbank:DB00199,http://bio2rdf.org/drugbank:DB00335,Erythromycin,Atenolol,1
8093,http://bio2rdf.org/drugbank:DB00924,http://bio2rdf.org/drugbank:DB01367,Cyclobenzaprine,Rasagiline,3
8092,http://bio2rdf.org/drugbank:DB00945,http://bio2rdf.org/drugbank:DB00749,Acetylsalicylic_acid,Etodolac,1
8091,http://bio2rdf.org/drugbank:DB00304,http://bio2rdf.org/drugbank:DB00586,Desogestrel,Diclofenac,1
8090,http://bio2rdf.org/drugbank:DB00586,http://bio2rdf.org/drugbank:DB00829,Diclofenac,Diazepam, 
8089,http://bio2rdf.org/drugbank:DB00573,http://bio2rdf.org/drugbank:DB00774,Fenoprofen,Hydroflumethiazide,1
8088,http://bio2rdf.org/drugbank:DB04552,http://bio2rdf.org/drugbank:DB01359,Niflumic_Acid,Penbutolol,2
8087,http://bio2rdf.org/drugbank:DB00898,http://bio2rdf.org/drugbank:DB00193,Ethanol,Tramadol,2
8086,http://bio2rdf.org/drugbank:DB01580,http://bio2rdf.org/drugbank:DB00880,Oxprenolol,Chlorothiazide,1
8085,http://bio2rdf.org/drugbank:DB01397,http://bio2rdf.org/drugbank:DB08439,Magnesium_salicylate,parecoxib,1
8084,http://bio2rdf.org/drugbank:DB00195,http://bio2rdf.org/drugbank:DB01397,Betaxolol,Magnesium_salicylate,1
8083,http://bio2rdf.org/drugbank:DB00458,http://bio2rdf.org/drugbank:DB00708,Imipramine,Sufentanil,1
8082,http://bio2rdf.org/drugbank:DB04861,http://bio2rdf.org/drugbank:DB00584,Nebivolol,Enalapril, 
8081,http://bio2rdf.org/drugbank:DB00304,http://bio2rdf.org/drugbank:DB00465,Desogestrel,Ketorolac,1
